host_id,target_id,output,tested_points,valid_points,valid_fraction,rmse,mae_scalar,aepe
57,58,all_nonfinal,15227,15227,1.0,1.1081740565708003,0.17929424998273596,0.17929424998273605
57,58,immature,5598,5598,1.0,1.270143070664979,0.1962496062637002,0.19624960626370036
57,58,immature_nonfinal,5598,5598,1.0,1.270143070664979,0.1962496062637002,0.19624960626370036
57,58,marginalized,4182,4182,1.0,0.14340984820814415,0.09080775081329591,0.09080775081329574
57,58,marginalized_nonfinal,4182,4182,1.0,0.14340984820814415,0.09080775081329591,0.09080775081329574
57,58,outlier,2273,2273,1.0,1.8058140343157156,0.34853583936484284,0.348535839364843
57,58,outlier_nonfinal,2273,2273,1.0,1.8058140343157156,0.34853583936484284,0.348535839364843
59,60,active,923,923,1.0,2.166542806438702,0.290034102246248,0.29003410224624787
59,60,active_nonfinal,923,923,1.0,2.166542806438702,0.290034102246248,0.29003410224624787
59,60,all,3729,3729,1.0,1.9174505301452147,0.2790477049916109,0.2790477049916108
59,60,all_final,659,659,1.0,1.8134390875934971,0.22535143033306537,0.2253514303330652
59,60,all_nonfinal,3070,3070,1.0,1.9390502013829842,0.2905740388678266,0.29057403886782657
59,60,immature,1609,1609,1.0,1.770690583470134,0.3017823309980198,0.30178233099801965
59,60,immature_final,74,74,1.0,0.11785877208247549,0.08607540024448025,0.08607540024448045
59,60,immature_nonfinal,1535,1535,1.0,1.812684661698785,0.31218123189428154,0.3121812318942814
59,60,marginalized,1009,1009,1.0,0.1739584765681795,0.09284227202022337,0.09284227202022333
59,60,marginalized_final,500,500,1.0,0.17432121774278733,0.09278080260990965,0.09278080260990956
59,60,marginalized_nonfinal,509,509,1.0,0.1736014113207266,0.09290265454508956,0.09290265454508949
59,60,outlier,188,188,1.0,4.783794666151475,1.0299031515755959,1.0299031515755952
59,60,outlier_final,85,85,1.0,5.030425146619671,1.1264307254875732,1.1264307254875732
59,60,outlier_nonfinal,103,103,1.0,4.570251980951057,0.9502444740754197,0.9502444740754197
61,62,active,954,954,1.0,2.296624108894727,0.39540379196032244,0.3954037919603222
61,62,active_nonfinal,954,954,1.0,2.296624108894727,0.39540379196032244,0.3954037919603222
61,62,all,3795,3795,1.0,2.001582249117061,0.34888814936870727,0.3488881493687074
61,62,all_final,689,689,1.0,1.9143528486545438,0.3076668631076929,0.30766686310769287
61,62,all_nonfinal,3106,3106,1.0,2.0204219336086675,0.3580322144794091,0.3580322144794091
61,62,immature,1537,1537,1.0,1.82623553312029,0.3472395256796524,0.34723952567965227
61,62,immature_final,58,58,1.0,0.1979941720143837,0.12816350414263053,0.12816350414263064
61,62,immature_nonfinal,1479,1479,1.0,1.8612868013693942,0.3558307422105158,0.35583074221051586
61,62,marginalized,1065,1065,1.0,0.24405024426879401,0.11246415744457662,0.11246415744457651
61,62,marginalized_final,516,516,1.0,0.2474278948706238,0.11376266592089178,0.11376266592089174
61,62,marginalized_nonfinal,549,549,1.0,0.24083244010400193,0.11124370139033489,0.11124370139033483
61,62,outlier,239,239,1.0,4.565944338589616,1.227338203665256,1.2273382036652563
61,62,outlier_final,115,115,1.0,4.65426130742865,1.268238694136937,1.2682386941369368
61,62,outlier_nonfinal,124,124,1.0,4.482482521141824,1.1894062971794233,1.1894062971794235
63,64,active,1538,1538,1.0,1.7052298198927183,0.29507949985882415,0.2950794998588242
63,64,active_nonfinal,1538,1538,1.0,1.7052298198927183,0.29507949985882415,0.2950794998588242
63,64,all,4854,4854,1.0,2.094152669489798,0.3544072253830705,0.3544072253830703
63,64,all_final,682,682,1.0,1.4825424509767624,0.25420667682654025,0.25420667682654025
63,64,all_nonfinal,4172,4172,1.0,2.177860133412756,0.37078708495055673,0.37078708495055646
63,64,immature,1870,1870,1.0,2.7180740534015007,0.4871693724086662,0.4871693724086659
63,64,immature_final,16,16,1.0,0.14140019694256326,0.12086008429620929,0.12086008429620945
63,64,immature_nonfinal,1854,1854,1.0,2.7297457277461565,0.4903306176135201,0.49033061761351987
63,64,marginalized,1235,1235,1.0,0.23714044102803178,0.13861258306903768,0.1386125830690377
63,64,marginalized_final,581,581,1.0,0.24251908159191124,0.14078043658612513,0.14078043658612507
63,64,marginalized_nonfinal,654,654,1.0,0.23225771224961622,0.13668670708520297,0.13668670708520286
63,64,outlier,211,211,1.0,3.7264356932004694,0.8733039560762229,0.873303956076223
63,64,outlier_final,85,85,1.0,4.150829814278264,1.0546089245932058,1.0546089245932058
63,64,outlier_nonfinal,126,126,1.0,3.4104370098171186,0.7509950487433381,0.7509950487433384
65,66,active,5103,5103,1.0,1.3007373152699038,0.15824951312951713,0.15824951312951713
65,66,active_nonfinal,5103,5103,1.0,1.3007373152699038,0.15824951312951713,0.15824951312951713
65,66,all,13401,13401,1.0,2.030045118623747,0.3162360711589174,0.3162360711589174
65,66,all_nonfinal,13401,13401,1.0,2.030045118623747,0.3162360711589174,0.3162360711589174
65,66,immature,4685,4685,1.0,2.3120773608867773,0.442149414497956,0.442149414497956
65,66,immature_nonfinal,4685,4685,1.0,2.3120773608867773,0.442149414497956,0.442149414497956
65,66,marginalized,2835,2835,1.0,0.1574890565766033,0.0897678548362821,0.08976785483628211
65,66,marginalized_nonfinal,2835,2835,1.0,0.1574890565766033,0.0897678548362821,0.08976785483628211
65,66,outlier,778,778,1.0,5.2541881814504405,1.419499291409949,1.419499291409949
65,66,outlier_nonfinal,778,778,1.0,5.2541881814504405,1.419499291409949,1.419499291409949
67,68,active,1304,1304,1.0,0.42480740896966557,0.13531647650371706,0.13531647650371698
67,68,active_nonfinal,1304,1304,1.0,0.42480740896966557,0.13531647650371706,0.13531647650371698
67,68,all,4147,4147,1.0,1.6368629854094239,0.3170871812376771,0.3170871812376765
67,68,all_final,792,792,1.0,0.3872630919172598,0.12098980904841182,0.12098980904841174
67,68,all_nonfinal,3355,3355,1.0,1.81008628421481,0.36337901991842236,0.36337901991842186
67,68,immature,1341,1341,1.0,2.8168132968238435,0.7131087820652849,0.7131087820652848
67,68,immature_final,45,45,1.0,0.14624544216371904,0.1135798122904828,0.11357981229048277
67,68,immature_nonfinal,1296,1296,1.0,2.8651694207452505,0.7339257601824658,0.7339257601824656
67,68,marginalized,1452,1452,1.0,0.1879687467743045,0.1067158093131611,0.10671580931316116
67,68,marginalized_final,723,723,1.0,0.18817805524786127,0.10670099833562242,0.1067009983356223
67,68,marginalized_nonfinal,729,729,1.0,0.1877609305482508,0.10673049838965035,0.10673049838965029
67,68,outlier,50,50,1.0,1.9206124622666259,0.5455524671909733,0.5455524671909733
67,68,outlier_final,24,24,1.0,1.9601636152422817,0.5653339756923084,0.5653339756923084
67,68,outlier_nonfinal,26,26,1.0,1.8833666454008622,0.5272926131897407,0.5272926131897407
68,69,active,1043,1043,1.0,0.4659886525759035,0.18138281948568022,0.18138281948568014
68,69,active_nonfinal,1043,1043,1.0,0.4659886525759035,0.18138281948568022,0.18138281948568014
68,69,all,3954,3954,1.0,2.137134003624192,0.4114816366635837,0.4114816366635837
68,69,all_final,740,740,1.0,0.5065184396340542,0.18301349901929628,0.18301349901929645
68,69,all_nonfinal,3214,3214,1.0,2.3579371310102064,0.46408475485175177,0.46408475485175177
68,69,immature,1573,1573,1.0,3.31849350217443,0.7458310297419048,0.7458310297419053
68,69,immature_final,77,77,1.0,0.21350816734472128,0.15493520115391188,0.15493520115391177
68,69,immature_nonfinal,1496,1496,1.0,3.4024796046473598,0.7762447856251098,0.7762447856251102
68,69,marginalized,1250,1250,1.0,0.21586249252380715,0.1509812776346562,0.15098127763465619
68,69,marginalized_final,621,621,1.0,0.21625195346129392,0.1511358268684477,0.15113582686844776
68,69,marginalized_nonfinal,629,629,1.0,0.21547729443330366,0.15082869405089722,0.15082869405089724
68,69,outlier,88,88,1.0,2.266447480809602,0.8624693615557694,0.8624693615557689
68,69,outlier_final,42,42,1.0,1.9352862388290357,0.7058245309552893,0.7058245309552893
68,69,outlier_nonfinal,46,46,1.0,2.531252608918278,1.0054929025388162,1.005492902538816
69,70,active,1084,1084,1.0,0.3297426062320193,0.1437231575783951,0.143723157578395
69,70,active_nonfinal,1084,1084,1.0,0.3297426062320193,0.1437231575783951,0.143723157578395
69,70,all,4031,4031,1.0,1.9177051527850377,0.3827097686524952,0.3827097686524951
69,70,all_final,746,746,1.0,0.2785240456395832,0.12925994121129458,0.1292599412112947
69,70,all_nonfinal,3285,3285,1.0,2.1201724583291,0.4402664113529931,0.44026641135299305
69,70,immature,1545,1545,1.0,3.0727337782059454,0.7768992525699316,0.7768992525699311
69,70,immature_final,53,53,1.0,0.14243799556146997,0.10473191174114868,0.10473191174114882
