method,mode,sequence,exposure_next,photometric_condition,radius_bin,tested_points,valid_points,valid_fraction,mean_normal_error,median_normal_error,p90_normal_error,mean_EPE,median_EPE,p90_EPE,mean_abs_It,runtime_ms,ms_per_pair,ms_per_valid_point
classical_nf,response_exposure,Office,1.0,synthetic_gamma_vignette_exposure,middle,9589,9293,0.969131296276984,6.624093532562256,3.032533645629883,17.578245162963867,6.630509853363037,3.0333964824676514,17.578689575195312,0.13635729253292084,0.0,0.0,0.0
classical_nf,response_exposure,Office,1.0,synthetic_gamma_vignette_exposure,border,5099,4596,0.9013532065110806,6.9106245040893555,3.401428699493408,18.735435485839844,6.915931701660156,3.4018874168395996,18.735790252685547,0.12145320326089859,0.0,0.0,0.0
classical_nf,full_photometric,Office,1.0,synthetic_gamma_vignette_exposure,all,17843,17843,1.0,6.603488445281982,3.018343448638916,17.65779685974121,6.609944820404053,3.0239109992980957,17.66073989868164,0.14917872846126556,9740.783395002949,15.942362348613665,0.545916235778902
classical_nf,full_photometric,Office,1.0,synthetic_gamma_vignette_exposure,center,3155,3155,1.0,5.402286052703857,2.4415812492370605,13.902571678161621,5.411112308502197,2.4579732418060303,13.90257453918457,0.18076345324516296,0.0,0.0,0.0
classical_nf,full_photometric,Office,1.0,synthetic_gamma_vignette_exposure,middle,9589,9589,1.0,6.71956205368042,3.068556547164917,17.7998046875,6.726009845733643,3.0745275020599365,17.800092697143555,0.14461927115917206,0.0,0.0,0.0
classical_nf,full_photometric,Office,1.0,synthetic_gamma_vignette_exposure,border,5099,5099,1.0,7.128448009490967,3.5908360481262207,19.235559463500977,7.133452892303467,3.5929031372070312,19.236665725708008,0.13821013271808624,0.0,0.0,0.0
classical_nf,full_photometric_affine,Office,1.0,synthetic_gamma_vignette_exposure,all,17843,17843,1.0,6.659602165222168,3.117917060852051,17.785961151123047,6.665781021118164,3.121410846710205,17.78598403930664,0.1420682966709137,23705.85563299824,38.79845439115915,1.328580150927436
classical_nf,full_photometric_affine,Office,1.0,synthetic_gamma_vignette_exposure,center,3155,3155,1.0,5.461538791656494,2.525327682495117,13.978781700134277,5.469502925872803,2.5257301330566406,13.979110717773438,0.17085927724838257,0.0,0.0,0.0
classical_nf,full_photometric_affine,Office,1.0,synthetic_gamma_vignette_exposure,middle,9589,9589,1.0,6.771523475646973,3.139097213745117,17.95182991027832,6.777863025665283,3.1437013149261475,17.96222686767578,0.13744264841079712,0.0,0.0,0.0
classical_nf,full_photometric_affine,Office,1.0,synthetic_gamma_vignette_exposure,border,5099,5099,1.0,7.190427780151367,3.7484514713287354,19.36363983154297,7.195199966430664,3.7540621757507324,19.36382484436035,0.1329527348279953,0.0,0.0,0.0
